page,id_in_page,details_page_url,agency_or_not
4,2,https://www.sortlist.com/agency/glueglue,1
4,3,https://www.sortlist.com/agency/virtualspirit,1
4,4,https://www.sortlist.com/agency/nebulae,1
4,5,https://www.sortlist.com/agency/smala-co,1
4,6,https://www.sortlist.com/agency/avanza-consultoria-tecnologica-9,1
4,7,https://www.sortlist.com/agency/proloweb,1
4,8,https://www.sortlist.com/agency/andromede-digital,1
4,9,https://www.sortlist.com/agency/caspian-digital-solutions,1
4,10,https://www.sortlist.com/agency/strivals,1
4,11,https://www.sortlist.com/agency/futuro-team,1
4,12,https://www.sortlist.com/agency/enoki-studio,1
4,13,https://www.sortlist.com/agency/designdialog-gmbh-co-kg,1
4,14,https://www.sortlist.com/agency/ironshark-gmbh,1
4,15,https://www.sortlist.com/agency/wagaia,1
4,16,https://www.sortlist.com/agency/data-machine-intelligence-solutions,1
4,17,https://www.sortlist.com/agency/diseno-web-zaragoza-inicionet,1
4,18,https://www.sortlist.com/agency/codecalc-gmbh,1
4,19,https://www.sortlist.com/agency/wisoft-solutions-2,1
4,20,https://www.sortlist.com/agency/iseo-online-marketing-gmbh,1
4,21,https://www.sortlist.com/agency/agile-digital-agency,1
4,22,https://www.sortlist.com/agency/unicblue,1
4,23,https://www.sortlist.com/agency/mcore-services,1
4,24,https://www.sortlist.com/agency/webcollective,1
4,25,https://www.sortlist.com/agency/inoutdata-project,1
4,26,https://www.sortlist.com/agency/nine-brackets,1
4,27,https://www.sortlist.com/agency/techcronus-business-solutions,1
4,28,https://www.sortlist.com/agency/lizard-global,1
4,29,https://www.sortlist.com/agency/deuse,1
4,30,https://www.sortlist.com/agency/blacksmith-studio,1
4,31,https://www.sortlist.com/agency/ebs-integrator,1
4,32,https://www.sortlist.com/agency/ab4-systems,1
4,33,https://www.sortlist.com/agency/kernix-software,1
4,34,https://www.sortlist.com/agency/accelerator-team,1
4,35,https://www.sortlist.com/agency/anais-digital,1
4,36,https://www.sortlist.com/agency/know-digital,1
4,37,https://www.sortlist.com/agency/trente-douze,1
4,38,https://www.sortlist.com/agency/granite,1
4,39,https://www.sortlist.com/agency/wolfpack-digital,1
4,40,https://www.sortlist.com/agency/smartcode-group,1
4,41,https://www.sortlist.com/agency/pixels-trade-sa,1
4,42,https://www.sortlist.com/agency/figure8,1
4,43,https://www.sortlist.com/agency/usts,1
4,44,https://www.sortlist.com/agency/klein-media,1
4,45,https://www.sortlist.com/agency/agence2web,1
4,46,https://www.sortlist.com/agency/logicify,1
4,47,https://www.sortlist.com/agency/tesvan-qa-outsourcing-service-provider,1
4,48,https://www.sortlist.com/agency/nemesis-tech,1
4,49,https://www.sortlist.com/agency/softmedia-interactive,1
4,50,https://www.sortlist.com/agency/novaway-2,1
5,1,https://www.sortlist.com/agency/a2-system-mobile-research-development-sl,1
5,2,https://www.sortlist.com/agency/fullstack,1
5,3,https://www.sortlist.com/agency/octree,1
5,4,https://www.sortlist.com/agency/belead,1
5,5,https://www.sortlist.com/agency/venturex-labs-2,1
5,6,https://www.sortlist.com/agency/css-engineering-kamerun,1
5,7,https://www.sortlist.com/agency/origin,1
5,8,https://www.sortlist.com/agency/emstell-technology-consulting,1
5,9,https://www.sortlist.com/agency/koek,1
5,10,https://www.sortlist.com/agency/it-place,1
5,11,https://www.sortlist.com/agency/compu-vision,1
5,12,https://www.sortlist.com/agency/gwc-tech-hub,1
5,13,https://www.sortlist.com/agency/triare,1
5,14,https://www.sortlist.com/agency/merixstudio,1
5,15,https://www.sortlist.com/agency/techgropse-pvt-ltd,1
5,16,https://www.sortlist.com/agency/quanted-square,1
5,17,https://www.sortlist.com/agency/netclues-web-design-and-marketing,1
5,18,https://www.sortlist.com/agency/1000-volts,1
5,19,https://www.sortlist.com/agency/stijlbreuk,1
5,20,https://www.sortlist.com/agency/dutch-coding-company,1
5,21,https://www.sortlist.com/agency/zipper-studios,1
5,22,https://www.sortlist.com/agency/eurisko-mobility,1
5,23,https://www.sortlist.com/agency/nosyweb-digital,1
5,24,https://www.sortlist.com/agency/onlinevisual,1
5,25,https://www.sortlist.com/agency/uig-studio,1
5,26,https://www.sortlist.com/agency/absolutlabs,1
5,27,https://www.sortlist.com/agency/webdigit,1
5,28,https://www.sortlist.com/agency/sioux-high-tech-software-vietnam,1
5,29,https://www.sortlist.com/agency/juice-studio,1
5,30,https://www.sortlist.com/agency/agitalys,1
5,31,https://www.sortlist.com/agency/webit,1
5,32,https://www.sortlist.com/agency/smart-booster,1
5,33,https://www.sortlist.com/agency/antenna-2,1
5,34,https://www.sortlist.com/agency/8trust,1
5,35,https://www.sortlist.com/agency/m4ke-it,1
5,36,https://www.sortlist.com/agency/aw-studio-agence-web-paris,1
5,37,https://www.sortlist.com/agency/velmie,1
5,38,https://www.sortlist.com/agency/syntec-soluciones-ti-s-l,1
5,39,https://www.sortlist.com/agency/jumo-technologies,1
5,40,https://www.sortlist.com/agency/codeblick,1
5,41,https://www.sortlist.com/agency/solid-digital,1
5,42,https://www.sortlist.com/agency/digitransform,1
5,43,https://www.sortlist.com/agency/zedafrica,1
5,44,https://www.sortlist.com/agency/ctotech,1
5,45,https://www.sortlist.com/agency/codana,1
5,46,https://www.sortlist.com/agency/upstack-studio,1
5,47,https://www.sortlist.com/agency/rubyroid-labs,1
5,48,https://www.sortlist.com/agency/enozom,1
5,49,https://www.sortlist.com/agency/biz4solutions-llc,1
5,50,https://www.sortlist.com/agency/popart-studio,1
6,1,https://www.sortlist.com/agency/interfacewerk-gmbh,1
6,2,https://www.sortlist.com/agency/scaleup-consulting-australia,1
6,3,https://www.sortlist.com/agency/edex-business-solutions,1
6,4,https://www.sortlist.com/agency/clueapps,1
6,5,https://www.sortlist.com/agency/softuvo-solutions-pvt-ltd,1
6,6,https://www.sortlist.com/agency/terasol-technologies,1
6,7,https://www.sortlist.com/agency/celadon,1
6,8,https://www.sortlist.com/agency/estudio-alfa,1
6,9,https://www.sortlist.com/agency/overscan,1
6,10,https://www.sortlist.com/agency/genuineq,1
6,11,https://www.sortlist.com/agency/361-grad,1
6,12,https://www.sortlist.com/agency/bytecode,1
6,13,https://www.sortlist.com/agency/mediatic-2,1
6,14,https://www.sortlist.com/agency/idea-design-group,1
6,15,https://www.sortlist.com/agency/alter-digital-solutions,1
6,16,https://www.sortlist.com/agency/cloud-creators,1
6,17,https://www.sortlist.com/agency/complete-chain-tech,1
6,18,https://www.sortlist.com/agency/lameco,1
6,19,https://www.sortlist.com/agency/blackcard,1
6,20,https://www.sortlist.com/agency/vnited,1
6,21,https://www.sortlist.com/agency/muse-case-gmbh,1
6,22,https://www.sortlist.com/agency/brl-consulting,1
6,23,https://www.sortlist.com/agency/7code,1
6,24,https://www.sortlist.com/agency/flexi-apps,1
6,25,https://www.sortlist.com/agency/tedmob,1
6,26,https://www.sortlist.com/agency/techgrains-technologies,1
6,27,https://www.sortlist.com/agency/itss,1
6,28,https://www.sortlist.com/agency/sokeo,1
6,29,https://www.sortlist.com/agency/artkai,1
