page,id_in_page,details_page_url,agency_or_not,website
3,14,https://www.sortlist.com/agency/novanexx,1,http://www.novanexx.com
3,15,https://www.sortlist.com/agency/opentech,1,https://opentech.dev/
3,16,https://www.sortlist.com/agency/dabasystem,1,https://www.dabasystem.com/
3,17,https://www.sortlist.com/agency/harborn-digital-bv,1,https://www.harborn.com/
3,18,https://www.sortlist.com/agency/ant-tech,1,https://ant-tech.eu/
3,19,https://www.sortlist.com/agency/artimon-digital,1,https://artimon.be
3,20,https://www.sortlist.com/agency/josh-digital,1,https://www.josh-digital.com/
3,21,https://www.sortlist.com/agency/agily,1,https://www.agily.fr/
3,22,https://www.sortlist.com/agency/simplx,1,https://www.simplx.fr
3,23,https://www.sortlist.com/agency/tinloof,1,https://tinloof.com/
3,24,https://www.sortlist.com/agency/la-chouette-company,1,https://www.lachouette.co/
3,25,https://www.sortlist.com/agency/bemobee-solutions,1,http://www.bemobee.com
3,26,https://www.sortlist.com/agency/appunto,1,https://www.appunto.io/
3,27,https://www.sortlist.com/agency/numidev,1,https://www.numidev.fr
3,28,https://www.sortlist.com/agency/bni-bright-new-ideas,1,http://www.bni.agency
3,29,https://www.sortlist.com/agency/naranco-brands,1,https://narancobrands.com
3,30,https://www.sortlist.com/agency/lh-web-design,1,https://lhwebdesign.com
3,31,https://www.sortlist.com/agency/mg-mobile,1,https://www.mgmobile.fr
3,32,https://www.sortlist.com/agency/ion2s,1,http://www.ion2s.com
3,33,https://www.sortlist.com/agency/webadev,1,https://www.webadev.com
3,34,https://www.sortlist.com/agency/webbingstone,1,http://www.webbingstone.com
3,35,https://www.sortlist.com/agency/rowen,1,https://rowen.es
3,36,https://www.sortlist.com/agency/kern-it,1,https://www.kern-it.be
3,37,https://www.sortlist.com/agency/weelite,1,http://www.weelite-france.fr
3,38,https://www.sortlist.com/agency/keeen,1,http://www.keeen.net
3,39,https://www.sortlist.com/agency/leapcom,1,https://www.leapcom.fr/
3,40,https://www.sortlist.com/agency/dtech-systems,1,http://www.dtechsystems.co
3,41,https://www.sortlist.com/agency/bakino,1,https://bakino.fr/
3,42,https://www.sortlist.com/agency/brainlane,1,https://www.brainlane.com/
3,43,https://www.sortlist.com/agency/nazca-networks,1,http://www.nazcanetworks.com
3,44,https://www.sortlist.com/agency/pickbeam,1,https://pickbeam.com
3,45,https://www.sortlist.com/agency/b12-consulting,1,http://www.b12-consulting.com
3,46,https://www.sortlist.com/agency/agence-1400,1,https://www.agence1400.fr
3,47,https://www.sortlist.com/agency/nybe,1,https://nybe.be
3,48,https://www.sortlist.com/agency/snowpact,1,https://snowpact.com
3,49,https://www.sortlist.com/agency/sinapse,1,http://www.sinapse.be
3,50,https://www.sortlist.com/agency/soamee-studio,1,http://soamee.com
4,1,https://www.sortlist.com/agency/querformat-de,1,http://www.querformat.info
